VCHAN_33_32_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_33_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_34_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_34_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_35_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_35_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_36_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_37_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_37_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_38_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_38_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_39_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_40_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_41_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_41_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_42_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_43_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_44_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_44_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_45_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_46_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_49_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_49_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_33_50_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_2_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_2_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_3_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_3_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_4_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_4_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_5_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_5_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_6_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_6_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_7_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_9_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_10_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_10_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_11_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_11_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_12_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_13_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_14_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_14_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_15_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_16_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_17_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_17_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_18_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_19_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_20_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_21_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_22_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_23_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_24_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_25_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_26_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_29_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_30_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_36_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_38_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_39_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_40_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_40_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_41_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_41_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_44_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_44_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_45_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_34_46_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_34_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
